# algo=diamond-lite k=50
node	pvalue	step
ADPGK	1.9681336391267812e-08	1
HKDC1	2.5526505874265415e-10	2
GALM	1.84541517419671e-12	3
ALDOC	1.292116356415746e-14	4
HK3	4.1785680745075933e-16	5
HK1	9.925491272847795e-18	6
FBP1	2.8071409620877706e-19	7
PGK2	7.100122101033768e-21	8
TKTL2	1.6823905390349924e-22	9
TKTL1	2.1768163241812683e-24	10
GCK	3.5098277914686854e-26	11
PFKFB4	2.700583475172465e-28	12
TKT	4.671443967432845e-29	13
FBP2	1.9785459430858613e-30	14
PFKFB2	1.9330371093223557e-32	15
PFKFB3	2.112161852835216e-34	16
PGAM2	6.51928474698793e-36	17
PFKFB1	3.2460742569852535e-38	18
PFKM	3.044924665672718e-39	19
ALDOA	5.28104704664653e-41	20
G6PD	1.2949921965422269e-42	21
BPGM	1.0407455814921183e-43	22
PFKP	1.1406606084450414e-45	23
PFKL	1.7796356031749361e-47	24
GPI	4.886722718330116e-48	25
ALDOB	7.728722635311462e-50	26
PYGL	2.4706671624910744e-50	27
PYGM	1.4438143769123862e-51	28
PGAM1	5.859415037525413e-52	29
TALDO1	1.1291338721486996e-52	30
H6PD	2.2194709034515816e-53	31
PGAM4	9.883884438992308e-56	32
TPI1	1.3770250088677553e-55	33
ENO3	1.8852392431588614e-57	34
TIGAR	7.827899181525502e-55	35
RPIA	1.456378502816624e-56	36
GAPDHS	3.113137747434795e-57	37
ENO4	3.7083623822578895e-59	38
PGD	5.84309799302022e-60	39
ENO2	7.372786653940177e-60	40
PGM1	1.107409841197424e-61	41
PKLR	9.199650738343362e-63	42
PKM	6.938878126213795e-63	43
PYGB	3.556728087849304e-63	44
PGM2	3.622433423125109e-63	45
MDH2	2.6512563417654442e-64	46
CS	4.049081467993363e-65	47
LDHAL6A	3.6494499627658037e-64	48
PC	7.184376797787581e-66	49
FH	1.1041754407119542e-66	50
