node	score
ENO1	0.16801670781432532
PGK1	0.16792685548541003
HK2	0.16754347315586418
GAPDH	0.0015687215320581349
TPI1	0.0014193810554819692
H6PD	0.001416787576524057
GPI	0.0013657348929360944
PKM	0.0013499046583963822
HK1	0.0013347043875118528
CS	0.0013205408191006792
G6PD	0.001312519865722689
PFKM	0.0012986321037679969
TKT	0.001285342886044424
TALDO1	0.0012704943786072272
AKT1	0.00126414996438621
ACTB	0.0012568841494679094
TP53	0.001242019547009286
HK3	0.0012402767650940816
TKTL1	0.0012387195533471
TKTL2	0.0012373874752599167
IDH1	0.0012335337269203618
PFKL	0.0012268624824076013
ALDOA	0.0012246298050401247
FH	0.001224426354950442
PGK2	0.0012242685261382054
PFKP	0.0012180669163752054
HKDC1	0.0012147047168470414
FBP1	0.001213436697586174
GCK	0.0012113561484847109
IDH2	0.0012110002353862821
ACLY	0.0012098691374532872
PKLR	0.0012085183864604684
ENO2	0.0012079318500662736
ACO2	0.001200402744909788
ENO3	0.0012000292789075685
MDH2	0.0011883541057888369
PYGL	0.0011843340245619447
MYC	0.0011821605424644094
PGD	0.0011809666750918824
PC	0.0011802956049834503
SLC2A1	0.0011802493129710041
HIF1A	0.0011782263046367883
PYGM	0.0011744528912284373
PGAM1	0.0011527159049325704
PGM2	0.0011516870264246441
SORD	0.0011477279974083999
PYGB	0.001144064684121776
PFKFB3	0.0011414447969001925
PGM1	0.0011409284807869667
RPIA	0.00113824778832154
FBP2	0.001133273884867455
ACO1	0.0011280534556543178
PGAM2	0.0011273974596440757
ALDOC	0.0011199612541049472
ALDOB	0.0011178507100250295
GBE1	0.0011081761419389432
GLUD1	0.001105700073464895
CTNNB1	0.0011053493996914967
CYCS	0.0011008540752672606
OGDH	0.0010882316705570262
GALM	0.0010869042979069965
PCK1	0.0010867238202359793
PGAM4	0.0010797269878820178
TIGAR	0.0010782319689253655
PFKFB4	0.0010769135246779969
PDK1	0.0010768085686137195
BPGM	0.0010753973963497153
SLC2A3	0.0010693928777816047
PFKFB1	0.0010678902737294913
AKR1B1	0.001064279969560969
VDAC1	0.0010634561601351022
GSR	0.0010626289531729298
PFKFB2	0.001061251504600556
GYS1	0.0010549807235439067
INS	0.0010264632517565035
ADPGK	0.0010083527902101813
SLC16A3	0.0010077691418327267
VDAC2	0.001006083033527813
SLC16A4	0.000986207719215546
SLC2A4	0.0009522575226720366
FASN	0.0009307227467028221
MTOR	0.0009111615098982506
EGFR	0.0009049596734072085
PGM3	0.0008910059116078728
STAT3	0.0008908785067280158
XYLB	0.0008907875772578394
PXDN	0.0008823042314472224
PTEN	0.0008814222331241926
PXDNL	0.0008779632940800138
TREH	0.0008778414133346975
DERA	0.0008743517958513638
UGP2	0.0008570817045242005
PDK4	0.0008543356297770471
EPAS1	0.0008489276558495128
ANXA5	0.0008458656921087543
ARNT	0.0008269263010728823
PDK2	0.0008193320659880912
GLYCTK	0.0008088855854269569
G6PC1	0.000772444402112516
G6PC3	0.0007327446773114531
MPI	0.0007322653327560235
G6PC2	0.0007240951715232611
PPARGC1A	0.0007031231197373578
PPARG	0.0006914967082223912
BCL2	0.0006909295864545489
GFPT1	0.0006879718019873036
MGAM	0.000681674309233585
SIRT1	0.0006813829358720705
ACSS2	0.0006810393706861479
ACACA	0.0006804570581659319
SI	0.0006783011187714005
CASP3	0.0006747046715004095
GSK3B	0.0006701692040884384
SLC2A2	0.0006641021621869421
SREBF1	0.0006592608284869034
KRAS	0.0006542783603698094
ACSS1	0.0006503042909493759
GFPT2	0.0006488926365879269
MGAM2	0.0006410835462757008
SLC1A5	0.0006361005568509423
GNPDA1	0.0006350610875611914
AKR1B10	0.0006316282377548965
SDHA	0.0006307233319900032
KHK	0.0006305758458788832
PRKN	0.0006286680820655308
PMM2	0.0006249715141361344
GLB1	0.0006213326578352526
GNPDA2	0.0006210171331849184
GLS	0.0006195838660595474
BCL2L1	0.0006187992285837997
RPS6KB1	0.0006168629767414139
ATP5F1A	0.0006165371431473689
PMM1	0.0006164617261062623
CPT1A	0.0006147145044671655
ALDH18A1	0.0006134271114946891
GLS2	0.0006123681364668018
LCT	0.000610263762517615
GAPDHS	0.0006073084082777045
STK11	0.0006052359115952477
SMAD3	0.0006046627921684049
ALB	0.000603815948987559
PDHB	0.0006038068003256946
SLC16A1	0.0006028888012696306
GCKR	0.0006015450967977265
SHMT2	0.0006002260004117169
GNPNAT1	0.000599557922124423
HSP90AB1	0.0005991040319775925
GAA	0.0005979494531018642
VDAC3	0.0005968486035687177
BAX	0.0005957466814526414
GOT2	0.0005953679938158962
PPIF	0.0005933605212820475
DNM1L	0.0005930566844700976
HSP90AA1	0.0005912325507205376
CCK	0.0005876159629204476
SDHB	0.000586051986539707
DLAT	0.0005856667417805283
FCSK	0.0005856539798536961
SCO2	0.0005851498855431706
DLD	0.000584307478864772
GANC	0.0005773600231198518
MAVS	0.0005731255244644442
