# algo=guild use_weights=True restart=0.5 max_iter=50 tol=1e-06 exclude_seeds=True
node	score	is_seed	rank
GPI	0.0021105636110360336	False	1
H6PD	0.001987914040597682	False	2
GAPDH	0.0019158238105611207	False	3
PFKM	0.0018764118178627664	False	4
HK1	0.001871823161780116	False	5
PKM	0.0018689095406466357	False	6
ALDOA	0.0018350829552218136	False	7
TPI1	0.0018166902267107907	False	8
G6PD	0.0018146489084600612	False	9
TALDO1	0.001804814182171314	False	10
TKT	0.0018046914325783943	False	11
PFKL	0.0017877848587099063	False	12
PFKP	0.0017746173625974872	False	13
TKTL1	0.001722736058729936	False	14
TKTL2	0.0017177603233096011	False	15
ALDOC	0.0016397325153265216	False	16
HK3	0.0016258604797726368	False	17
FBP1	0.0016051081712590604	False	18
ALDOB	0.001585716292355891	False	19
HKDC1	0.001540488934528259	False	20
