# algo=guild use_weights=True restart=0.5 max_iter=50 tol=1e-06 exclude_seeds=True
node	score	is_seed	rank
GPI	0.002125771223882748	False	1
H6PD	0.0020041672390053375	False	2
GAPDH	0.0019278822447952632	False	3
PFKM	0.001886659517815724	False	4
HK1	0.0018808250367028493	False	5
PKM	0.0018805449330000727	False	6
ALDOA	0.0018432910076411468	False	7
TPI1	0.0018307513914939115	False	8
G6PD	0.0018258634444158594	False	9
TALDO1	0.001816399872965994	False	10
TKT	0.001815911041776661	False	11
PFKL	0.0017965907722512994	False	12
PFKP	0.0017829006569633637	False	13
TKTL1	0.0017327108461477737	False	14
TKTL2	0.001727727969712745	False	15
ALDOC	0.0016464023513057988	False	16
HK3	0.0016336809709668809	False	17
FBP1	0.0016135710881832253	False	18
ALDOB	0.0015927578925259706	False	19
HKDC1	0.001547782445468531	False	20
