node	score
ENO1	0.1683174886144971
PGK1	0.1681615687820229
HK2	0.16786134237534667
GPI	0.002125771223882748
H6PD	0.0020041672390053375
GAPDH	0.0019278822447952632
PFKM	0.001886659517815724
HK1	0.0018808250367028493
PKM	0.0018805449330000727
ALDOA	0.0018432910076411468
TPI1	0.0018307513914939115
G6PD	0.0018258634444158594
TALDO1	0.001816399872965994
TKT	0.001815911041776661
PFKL	0.0017965907722512994
PFKP	0.0017829006569633637
TKTL1	0.0017327108461477737
TKTL2	0.001727727969712745
ALDOC	0.0016464023513057988
HK3	0.0016336809709668809
FBP1	0.0016135710881832253
ALDOB	0.0015927578925259706
HKDC1	0.001547782445468531
PFKFB3	0.001519388477334632
PGM2	0.0015145379637728493
GCK	0.0015036189629591902
TIGAR	0.0015032792928402164
PGAM1	0.0014579423665692722
PKLR	0.001445931447703958
ENO2	0.0014272438945617564
VDAC1	0.0014263223173064028
PGK2	0.0014256879074838003
SLC2A1	0.0014234237780974377
FBP2	0.0014213509116361711
AKT1	0.0014033671670069133
PFKFB4	0.0013887550632688298
ACTB	0.0013701163422435907
SORD	0.0013691942305416752
HIF1A	0.0013611928271859892
CS	0.0013502680078471543
ENO3	0.001315734960234356
PGAM4	0.001303021439137951
GALM	0.00130182735944038
IDH1	0.0012991968160717732
PGD	0.0012943019932196102
PFKFB2	0.0012922241173999225
PGAM2	0.001284172503404683
PFKFB1	0.0012651538379118998
IDH2	0.0012555172181893677
AKR1B1	0.0012477702649280273
BPGM	0.0012422928166091426
ADPGK	0.001240834503461731
PYGL	0.0012403644770843773
TP53	0.0012219580737388568
PGM1	0.0012186330099693348
FH	0.0012148932985385293
PDK1	0.001211618933911313
MDH2	0.0012076111844333886
MYC	0.0011982403699465746
PYGM	0.0011598139779119196
DERA	0.001157199988382293
ACO2	0.0011538168268672086
SLC2A3	0.0011503884310165534
ACLY	0.0011427028729882323
PC	0.0011244657885899228
GLYCTK	0.0011149837218698813
G6PC1	0.0011039705205061142
PYGB	0.0010771002368320575
MPI	0.001064577855390075
G6PC3	0.0010574538806682357
SLC16A3	0.001053661862623396
GLUD1	0.00105127701866221
G6PC2	0.0010484239944452294
RPIA	0.0010220772138594433
PCK1	0.000995609400793068
CYCS	0.0009859128150924545
ACO1	0.0009723403583213799
GFPT1	0.0009679688630845064
MGAM	0.0009651603605922082
SI	0.0009487291206104827
SLC2A4	0.0009481066726467106
SLC16A4	0.0009365477877247946
GBE1	0.0009263247040056582
GFPT2	0.0009217799365179689
OGDH	0.0009101537110066422
MGAM2	0.0009073089502637012
INS	0.0008991714124499113
GNPDA1	0.0008942826829899771
KHK	0.0008878481967820256
GSR	0.0008864754300406731
GNPDA2	0.0008823028676371303
VDAC2	0.0008791723004753147
PMM2	0.0008778625057485904
GAPDHS	0.0008743394084976861
FASN	0.0008711386992092539
GLB1	0.0008678028620915338
PMM1	0.0008633679075238618
GNPNAT1	0.0008581572805699573
LCT	0.0008555649411936668
GYS1	0.0008502467611915613
CTNNB1	0.0008436084899449151
GAA	0.0008354769453038188
EGFR	0.0008348672101384831
BAX	0.000824895632473864
XYLB	0.0008069354146148817
GANC	0.0008045561780446643
AKR1B10	0.000803490771167115
MTOR	0.0007910156612802853
ENO4	0.0007871320884975106
TREH	0.0007827451781590005
UGP2	0.0007737646303539466
ATP5F1A	0.000763436245695789
PGM3	0.0007634018487072205
EEF2	0.0007622149407183912
PDHB	0.0007366287734058031
FCSK	0.0007223825381116156
SDHA	0.0007195502672376154
PTEN	0.0007188180788252667
HSPA8	0.0007159471688046629
CSTF3	0.0007157850831340404
HSP90AA1	0.0007116857187611518
PDK4	0.0007071191508998953
ANXA5	0.000705778752898622
HSP90AB1	0.0007000266412847544
STAT3	0.0006922593424240419
PLG	0.0006656715143492306
EPAS1	0.0006617762253277107
PXDN	0.0006599662899922748
YWHAZ	0.0006595188149753722
PXDNL	0.0006547645147352755
PPIF	0.0006539309427168476
GOT2	0.0006528675147949695
ARNT	0.0006454188730419672
PCK2	0.0006453804372829037
GSK3B	0.0006397760057540122
PNMA8B	0.0006393768363882491
EEF1A1	0.0006234738889220077
ALB	0.0006221786412110524
DLD	0.0006206894999369498
LDHC	0.0006175973758921151
ATP5F1C	0.0006170136511504088
SHMT2	0.0006166061858687803
GRHPR	0.0006155144399101493
HSPA4	0.0006102369797196565
PPIA	0.0006078376094970193
LDHAL6A	0.0006053061268597048
LDHAL6B	0.0006028430977744161
BCL2	0.0006021230270766237
SDHB	0.0005993331648265239
PDK2	0.0005976431912268368
PPARGC1A	0.00059650577281441
VCP	0.0005916291358968872
HSPA5	0.0005912139303995939
RPLP0	0.0005908039874347127
DLAT	0.0005897616233929915
HSPD1	0.000588621971538305
ATP5F1B	0.0005875350627370999
RPS3	0.000587347438253598
PARP6	0.000583849505756026
PARP8	0.0005834243817303636
SUCLG1	0.0005799340307940668
VDAC3	0.0005778632219298484
HSPE1	0.0005772907529463956
SOD2	0.0005747543774627899
SOD1	0.0005668759973954946
PDHA2	0.0005655778425054258
TXN	0.0005625770048023053
RPL4	0.0005576518169769846
RPE	0.0005563286574678089
RPS18	0.0005557326240608338
TUFM	0.0005530587478891145
ACAA2	0.0005501283075227131
PRDX6	0.0005486512611980173
ALDH18A1	0.0005449805439650902
SHMT1	0.0005442262541265837
PRKN	0.0005395010105063559
RPS9	0.0005369340667861919
FN1	0.000534148802547145
DNM1L	0.0005318527936597716
PRDX1	0.0005312753049315208
GLUL	0.0005300352730926505
ACSS2	0.0005300062217956927
PHGDH	0.0005298247825802665
GCKR	0.0005256569266392798
SLC1A5	0.0005244055134944718
HADHB	0.0005190806549485774
GART	0.0005181731600022202
SLC2A2	0.0005160018637849314
ANXA2	0.000515803035639917
GLS	0.0005105461549759575
SCO2	0.000507797280854716
RNASEH1	0.0005060234311312408
TUBB	0.0005034661615631518
DLST	0.000500739394730025
ZNF211	0.0004982086471889262
SIRT1	0.0004970962255097802
CASP3	0.0004968186594894016
POTEF	0.0004956255338718029
PPARG	0.0004945679051976631
RPS2	0.0004941396988915053
PRDX2	0.0004935818085374538
RPL13A	0.0004920986157254308
TUBA1A	0.0004897134758555169
AK2	0.00048692559121871453
EEF1G	0.00048338884434840674
IDH3A	0.0004798602203760622
POLR2C	0.0004787221399844116
YWHAE	0.00047516614860029614
ACACA	0.00047494386169165013
RPSA	0.00047357048481325544
PDIA3	0.0004726415124207065
SREBF1	0.00047095799749754787
CFL1	0.0004653062536977348
ACTG1	0.0004652358556405858
SLC16A1	0.0004619352994355263
PARK7	0.00045992497098623365
RPS4X	0.00045907592003654617
KRAS	0.00045877459274914887
TCP1	0.0004584737744935562
GLO1	0.0004566627626883111
MAVS	0.000456052203990917
CD44	0.0004553675509970136
CCT5	0.0004553377600436304
RPL11	0.0004538186063204511
TXNRD1	0.0004535757784127763
PPA1	0.0004533944691839887
H2AX	0.00045320711213761025
IMP3	0.00045308965065348763
ACSS1	0.00045287613532257336
RPS15	0.00044990312273671834
MDH1B	0.00044881972816569656
BCL2L1	0.000447473183150842
PFN1	0.0004466777759311735
EIF5B	0.00044657195596702423
EFTUD2	0.0004457349454580763
HSP90B1	0.00044251991439903007
PPA2	0.00044098736388746226
RPS20	0.0004401723078135706
PSAT1	0.00043992734575841875
UQCRC1	0.00043891549078793775
YWHAQ	0.0004382833451016837
EEF1A2	0.00043763869503866406
PAICS	0.0004372998729353443
